_id,Name,Code,date,High,Low,Open,Close,Last,Total_Trade_Quantity,Turnover_in_Lakhs,Sector,Index
ObjectId(58d10298e9804518868d97e9),United Breweries Limited,NSE/UBL,2016-01-17T00:00:00.000Z,885,855.7,880.1,861.5,868.35,100022,868.82,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97ea),United Breweries Limited,NSE/UBL,2016-01-24T00:00:00.000Z,817,786.4,817,788.8,786.4,122751,974.25,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97eb),United Breweries Limited,NSE/UBL,2016-01-31T00:00:00.000Z,788.8,761.15,777.2,772.7,773.25,190131,1479.75,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97ec),United Breweries Limited,NSE/UBL,2016-02-07T00:00:00.000Z,820,807.5,814.95,815.45,815.25,138996,1133.29,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97ed),United Breweries Limited,NSE/UBL,2016-02-14T00:00:00.000Z,810.5,787.75,804.9,805.2,805,190115,1529.43,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97ee),United Breweries Limited,NSE/UBL,2016-02-21T00:00:00.000Z,819.9,796.85,810,814.9,812,447048,3635.38,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97ef),United Breweries Limited,NSE/UBL,2016-02-28T00:00:00.000Z,816,794.3,815,800.55,804.3,185534,1496.7,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97f0),United Breweries Limited,NSE/UBL,2016-03-06T00:00:00.000Z,815.55,796.65,800.3,805.6,807.1,267096,2161.39,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97f1),United Breweries Limited,NSE/UBL,2016-03-13T00:00:00.000Z,807,777,792.5,794.8,798.4,380778,3011.25,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97f2),United Breweries Limited,NSE/UBL,2016-03-20T00:00:00.000Z,815.1,800.45,810,812.8,812.7,246043,1993.83,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97f3),United Breweries Limited,NSE/UBL,2016-03-27T00:00:00.000Z,864,827.25,858.85,835.05,831,815761,6893.69,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97f4),United Breweries Limited,NSE/UBL,2016-04-03T00:00:00.000Z,842,819.15,829,825.4,827.75,263833,2196.61,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97f5),United Breweries Limited,NSE/UBL,2016-04-10T00:00:00.000Z,825.75,817.55,823.35,821.2,819.55,83112,682.19,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97f6),United Breweries Limited,NSE/UBL,2016-04-17T00:00:00.000Z,805,790.25,800,797.65,795,114984,920.47,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97f7),United Breweries Limited,NSE/UBL,2016-04-24T00:00:00.000Z,772.75,747.55,772,754.85,755,132481,1004.39,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97f8),United Breweries Limited,NSE/UBL,2016-05-01T00:00:00.000Z,769.25,753.55,764.05,762.15,758.1,111764,849.94,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97f9),United Breweries Limited,NSE/UBL,2016-05-08T00:00:00.000Z,766.3,748.1,763,763.1,764.85,251522,1913.26,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97fa),United Breweries Limited,NSE/UBL,2016-05-15T00:00:00.000Z,780.9,752,776,764.1,767.2,733285,5609.25,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97fb),United Breweries Limited,NSE/UBL,2016-05-22T00:00:00.000Z,740.9,728.05,740,731.9,728.05,388968,2853.27,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97fc),United Breweries Limited,NSE/UBL,2016-05-29T00:00:00.000Z,735,712.25,720.7,722.3,723,282816,2051.82,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97fd),United Breweries Limited,NSE/UBL,2016-06-05T00:00:00.000Z,753.9,717.2,743,726.6,725.15,765231,5650.15,CONSUMER GOODS,NIFTY FMCG
ObjectId(58d10298e9804518868d97fe),United Breweries Limited,NSE/UBL,2016-06-12T00:00:00.000Z,747,735,740,737.5,738,102814,761.06,CONSUMER GOODS,NIFTY FMCG
